treatment company,azimuth,md (ft),tvd (ft),date on production,operator,footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production
treatment company 9,-44.549999,11904,7059,1/1/2011,operator 7,4450,740.15375,7.47,15,0,34735.75,0.29,0.02,0.34,,4.68,0.63,13203.24,6983.49,31.02,4416,,89,13,6351477,1.3,422.3383461
treatment company 5,-48.43,15830,7528,7/1/2014,operator 8,8180,751.70386,331.96,1,6693,32451.85,0.36,0.02,0.33,0.84,4.71,0.59,13266.77,6986.73,31.01,,,84,55,10834362,0.9,2619.113528
treatment company 4,-47.490002,16599,6146,4/1/2017,operator 7,9922,3431.4177,5.35,14,0,35042.97,0.35,0.02,0.33,0.86,4.65,0.6,13164.73,7033.62,31.16,4219,,95,52,14069535,1.23,1305.405685
treatment company 5,-8.5600004,13266,7549,7/1/2011,operator 8,4923,,2.76,9,6187,33199.52,1.24,0.04,0.32,0.8,4.9,0.97,12591.02,7452.84,32.84,5639,,85,14,,0.37,1205.091027
treatment company 12,-36.779999,13993,8027,7/1/2014,operator 9,5329,,127.13,11,0,34786.71,0.89,0.04,0.27,,4.41,0.47,11603.53,7056.84,31.34,6035,10034,91,37,8473767,1.12,983.4577926
treatment company 5,-24.879999,11916,7516,7/1/2013,operator 8,3887,,307.69,1,1717,31044.9,0.43,0.02,0.33,,4.68,0.59,13213.38,7027.22,31.12,5391,,86,13,4544487,0.88,895.1185707
treatment company 9,-32.790001,11850,8397,8/1/2013,operator 10,3089,735.71985,4.16,3,0,35192.75,0.7,0.03,0.25,,4.62,0.57,11809.23,7070.36,30.93,6180,8950,82,11,3187844,0.96,1373.773734
treatment company 10,-21.209999,11525,6603,1/1/2013,operator 11,3874,,16.84,7,5066,31990.58,0.47,0.02,0.34,,4.66,0.58,13184.96,7049.93,31.19,4210,,69,18,8736369,1.25,667.0924295
treatment company 9,-41.639999,15315,8281,1/1/2018,operator 12,6527,3065.821,5.28,6,5284,34782.28,0.85,0.07,0.34,,4.6,0.6,12748.61,6632.68,29.9,5903,,80,37,14687519,1.26,1934.384962
treatment company 1,-48.049999,10333,6535,8/1/2013,operator 13,3478,1833.5397,7.44,13,0,34849.93,0.6,0.01,0.33,,5.05,0.33,13660.52,6925.65,30.75,4471,6510,80,12,4935397,1.08,557.6717416
treatment company 12,-31.860001,14546,8500,7/1/2013,operator 9,5697,777.98065,1.54,14,0,35063.55,1,,0.29,,4.4,0.71,11866.83,7088.92,31.96,6368,9730,91,20,7595229,1.14,1231.093841
treatment company 1,-36.959999,22485,7219,9/1/2018,operator 11,14653,,11.72,9,0,29782.73,0.65,0.04,0.33,,4.62,0.37,12884.45,7160.45,31.58,,6407,70,73,21968912,0.89,2443.048341
treatment company 2,-44.509998,14492,6334,3/1/2016,operator 7,7962,1973.0684,17.58,21,12400,35351.96,0.26,0.02,0.33,0.8,4.58,0.57,13273.95,6900.74,30.76,4117,,96,42,12369768,1.21,1190.884135
treatment company 1,-22.58,19834,6526,12/1/2018,operator 5,13058,,5.38,8,7716,29441.48,0.62,0.01,0.34,0.87,4.91,0.44,13478.62,6953.4,30.86,3616,5766,75,65,23284648,1.12,3187.190755
treatment company 10,-40.119999,14870,7820,8/1/2017,operator 4,6800,,75.54,1,0,34590.42,0.21,0.03,0.34,0.86,4.43,0.53,13369.16,6844.17,30.58,5233,9356,100,35,15323834,1.47,3824.778591
treatment company 5,-2.3299999,17658,7631,1/1/2014,operator 8,9024,820.06085,10.76,9,2649,34667.33,1.23,0.04,0.32,0.82,4.8,0.95,12583.18,7456.22,32.85,5844,,88,63,15461369,0.94,1669.353094
treatment company 5,-55.189999,18941,6099,6/1/2018,operator 11,12276,,21.1,14,0,34777.93,0.47,0.02,0.33,,4.68,0.59,13214.46,7040.7,31.16,4598,6212,69,59,17719706,1.1,2913.252743
treatment company 7,-4.6700001,13080,8941,7/1/2013,operator 11,3545,,2.96,18,10154,34804.16,0.18,0.02,0.26,,4.62,0.74,11849.77,7096.77,31.24,6678,,69,10,2977836,2.01,925.7441562
treatment company 11,,15760,8158,7/1/2014,operator 6,7221,4116.0757,289.05,1,3416,34470.52,1.28,0.07,0.22,,4.03,0.66,11993.24,6807.19,27.44,4746,8796,86,10,8533084,1.14,3079.750629
treatment company 6,,10650,7400,8/1/2014,operator 14,2777,2465.4636,3.07,24,10763,33220.05,0.1,0.02,0.23,,4.22,0.59,11283.8,6790.58,27.85,5716,,80,22,,1.07,2171.18261
treatment company 10,-13.62,14135,7590,3/1/2018,operator 6,6215,1237.7744,38.76,20,8088,35192.75,0.1,0.01,0.23,,3.3,0.63,11200.75,6795.88,28.04,5630,,90,26,10194239,1.96,3292.077537
treatment company 13,,11839,5559,7/1/2012,operator 15,6077,3855.7927,146.49,1,2347,32818.92,0.43,0.02,0.33,0.86,4.68,0.59,13202.61,7034.19,31.14,,,74,17,1318492,0.57,534.5528106
treatment company 10,-43.779999,12670,7659,8/1/2015,operator 11,4470,841.604,3.66,9,2161,34789.16,0.52,,0.33,0.85,4.63,0.5,12901.65,7121.76,31.5,4656,6358,70,22,4423479,0.88,1462.232381
treatment company 8,-48.919998,15961,8119,3/1/2015,operator 12,7012,4978.5923,0.43,8,0,30376.98,0.68,0.02,0.33,,5.08,0.4,13595.4,6955.35,30.83,6333,7759,84,36,14295919,1.29,1723.793404
treatment company 7,-36.349998,11290,6626,1/1/2014,operator 1,4293,1015.5507,16.09,11,0,30817.05,0.59,0.02,0.21,0.7,4.54,0.47,13480.95,6797.26,26.28,4298,,97,14,6906454,1.29,1326.884187
treatment company 12,-27.059999,13250,7461,1/1/2013,operator 7,4965,,6.11,15,0,34599.59,1.61,0.13,0.2,0.43,5.17,0.8,12014.55,7133.44,29.61,5618,,87,18,11937619,1.88,1368.45693
treatment company 2,-42.77,15257,5985,1/1/2016,operator 7,8635,3918.0396,2.99,3,3474,35375.84,0.46,0.02,0.34,0.88,4.67,0.59,13207.6,7038.37,31.16,4391,,96,45,12346968,1.14,615.8663271
treatment company 1,-40.689999,19950,6495,6/1/2018,operator 1,13087,,2.88,5,0,35056.46,0.26,0.01,0.33,,4.82,0.53,13532.06,7016.04,30.97,4639,,99,65,17760768,1.25,2221.984788
treatment company 10,-40.669998,18485,7348,11/1/2017,operator 11,10887,4501.5898,217.63,1,0,30319.59,0.55,0.03,0.33,,4.58,0.49,13018.73,7104.16,31.39,5357,,70,53,10538626,0.87,2148.586768
treatment company 14,-57.970001,13602,7664,5/1/2016,operator 4,5045,1310.5488,2.73,8,0,34653.08,0.34,0.03,0.33,,4.64,0.63,12985.89,7053.9,31.3,5285,,89,31,7526310,0.9,2147.721324
treatment company 5,-62.529999,10720,7519,7/1/2013,operator 8,2783,746.64252,49.24,4,3083,31172.16,0.43,0.02,0.33,,4.67,0.59,13197.45,7032.27,31.14,5509,,84,18,,0.75,411.2655142
treatment company 4,-46.91,14535,6401,7/1/2017,operator 7,7822,2213.3115,22.36,5,4491,34775.43,0.67,0.03,0.27,1,5.2,0.07,13046.09,7045.17,29.3,4155,5399,95,34,9105323,1.21,1063.619892
treatment company 10,-42.790001,15610,6602,9/1/2017,operator 4,8758,3844.8215,31.28,16,8555,35579.35,0.47,0.02,0.33,,4.64,0.57,13160.76,7056.25,31.21,4477,,100,53,13183743,1.04,1507.253422
treatment company 3,-52.349998,11304,6589,4/1/2017,operator 1,4390,1173.7072,19.31,15,6667,32769.21,1.16,0.06,0.3,,4.97,0.44,12645.83,6761.8,28.31,5188,,96,21,,1.35,2790.282309
treatment company 5,-40.669998,11816,6936,2/1/2016,operator 16,4630,3062.8435,9.37,20,10228,35258.45,0.99,0.04,0.34,0.51,3.81,1.56,12622.5,6581.19,29.95,4860,5942,78,23,4160750,0.73,1213.243506
treatment company 7,-25.700001,13779,8487,7/1/2014,operator 6,5052,,12.24,2,2791,34538.91,1.3,0.09,0.21,,2.88,0.45,11969.87,6822.7,28.03,5271,,81,27,9445394,1.29,4185.294342
treatment company 1,-13.22,11845,6538,9/1/2018,operator 17,4935,926.94214,190.95,2,530,30847.96,0.78,0.06,0.26,0.77,5.16,0.45,13061.34,6774.88,27.22,4374,6668,80,25,8834125,0.95,1999.76295
treatment company 5,-39.77,16773,7024,3/1/2015,operator 18,8725,665.36377,24.95,7,5825,31925.1,0.46,0.02,0.33,0.8,4.69,0.59,13229.9,7035.71,31.14,5062,,93,38,8670911,0.99,1959.238946
treatment company 12,-41.130001,18644,7949,8/1/2018,operator 4,10445,3714.8999,83.05,3,4386,33220.79,0.23,0.04,0.34,,4.38,0.66,13292.28,6827.72,30.54,5471,,99,53,23217020,1.43,4360.228367
treatment company 4,-29.66,13722,7867,10/1/2015,operator 4,5559,,8.74,8,1235,35185.98,0.18,0.03,0.33,,4.82,0.84,12864.27,7008.96,31.34,5938,,89,39,9530856,0.84,1855.806584
treatment company 12,-59.740002,12646,5897,1/1/2014,operator 19,6317,3535.9065,7.15,3,2969,34228.79,0.56,0.01,0.33,,4.76,0.41,13455.52,6921.39,30.79,3995,4364,79,22,7561729,0.92,719.9502925
treatment company 1,-30.219999,14390,8012,1/1/2011,operator 20,6050,2023.3851,4.56,11,6588,34112.47,1,0.06,0.29,,6.08,0.42,11723.42,7030.38,31.58,5964,,80,16,5624710,1.23,1389.36745
treatment company 5,-80.550003,11065,6732,7/1/2013,operator 3,4053,900.47876,19.74,13,6284,35188.37,0.79,,0.32,,4.73,0.48,12703.22,7485.87,32.72,3951,,97,13,,1.37,681.9005685
treatment company 1,-45.759998,13014,8048,7/1/2011,operator 20,4581,4908.3149,23.2,5,3745,34899.94,0.99,0.06,0.3,0.79,6.43,0.36,12322.49,7021.94,31.62,,,93,19,8046568,1.55,792.3838722
treatment company 8,-27.120001,11315,6783,8/1/2013,operator 4,4064,,12.36,10,0,35230.46,0.5,0.02,0.34,,4.02,0.51,12738.09,6708.98,30.23,4829,6851,82,15,5885261,1.08,344.0395618
treatment company 11,-15.51,14458,7619,1/1/2014,operator 6,6759,4981.7529,12.96,5,4029,33437.86,0.92,,0.23,0.82,4.36,0.72,11627.02,6782.17,26.97,6105,9215,79,10,8512240,1.35,2944.130214
treatment company 3,-11.8,14376,6817,7/1/2016,operator 5,7023,2521.2019,34.88,7,5106,32719.34,1.32,0.06,0.34,,3.93,1.93,12309.91,6475.37,29.75,4991,,75,35,10709935,0.91,1736.79381
treatment company 9,-9.0600004,12768,7530,11/1/2018,operator 6,4933,2936.9568,13.21,9,0,34653.08,1.48,0.09,0.21,,3.78,0.49,11590.07,6817.36,27.63,5288,,86,21,8172444,1.86,2798.759433
treatment company 4,21.959999,12874,7535,8/1/2018,operator 14,5089,1889.394,4.65,3,2152,34570.38,0.14,0.03,0.25,0.94,3.64,0.62,11117.56,6785.57,28.32,5848,,96,27,13000754,1.11,5463.968098
treatment company 5,-19.74,11123,6928,4/1/2013,operator 1,3622,2000.4401,6.3,8,4611,34469.8,1.11,0.05,0.29,0.69,4.97,0.44,12313.56,6764.83,28.27,4667,,82,15,,0.86,2002.244842
treatment company 1,-21.41,18873,7136,11/1/2017,operator 11,11487,2625.7485,0.63,7,0,35358.4,0.7,0.04,0.33,,4.88,0.32,12742.32,7223.24,31.8,5030,5706,70,50,,0.88,5086.822502
treatment company 3,-24.52,13700,7045,3/1/2018,operator 1,6405,792.4599,315.66,1,0,30117.77,0.61,0.02,0.33,0.87,5.06,0.46,13564.11,6970.37,30.88,5022,,97,44,12433952,1.58,1843.103448
treatment company 13,-35.84,10647,5514,7/1/2013,operator 15,4807,4658.2725,7.55,18,9655,34811.38,0.84,0.07,0.19,,5.38,0.58,12578.92,7054.73,27.96,3346,,93,14,4894790,1.27,508.9421901
treatment company 2,-23.110001,14589,7366,7/1/2013,operator 2,6646,1513.0698,37.15,3,0,34661.95,1.88,0.21,0.21,,5.75,0.8,11413.49,7009.28,28.77,4110,,80,19,7663205,1.45,1744.470647
treatment company 12,-44.490002,12191,6911,2/1/2015,operator 21,5089,946.15784,15.04,6,0,32140.21,0.44,0.03,0.31,,4.61,0.5,12500.8,7084.65,31.4,4832,7636,99,24,,1.38,504.4295346
treatment company 3,-30.52,15669,7033,3/1/2018,operator 5,8411,2168.4849,7.43,17,0,31568.71,1.25,0.05,0.34,,3.94,1.85,12399.56,6497.98,29.78,4443,,74,43,21520860,1.13,3146.950423
treatment company 10,-29.75,18314,6722,9/1/2018,operator 2,11613,641.0025,26.27,5,277,27288.09,1.58,,0.2,,6.42,0.52,11801.52,6991.71,28.23,5501,,94,51,23130026,1.96,2112.703768
treatment company 15,-75.949997,11707,5846,9/1/2015,operator 19,5666,1759.7357,11.83,5,4108,33045.51,0.06,0.02,0.34,0.81,4.61,0.73,13172.87,6895.53,30.78,4401,,81,22,9032087,0.93,616.3775066
treatment company 4,-19.77,15515,,7/1/2018,operator 4,6594,4620.7266,19.11,21,10662,33781.33,0.34,0.05,0.34,0.86,4.34,0.72,13175.91,6793.66,30.44,5136,9278,92,22,15053610,0.71,2277.459113
treatment company 10,-41.349998,9700,6317,7/1/2013,operator 11,3124,4388.9497,4.68,21,8105,33069.47,0.4,0.02,0.33,0.7,4.8,0.62,13278.1,7125.15,31.3,4189,6077,70,15,6597559,1.16,451.9080888
treatment company 12,-55.849998,12560,5810,7/1/2014,operator 19,6309,2383.8379,16.72,23,8416,34723.19,0.5,0.02,0.33,,4.83,0.56,13280.73,7014.03,31.04,4362,,82,28,7654300,0.86,869.0764801
treatment company 9,-30.030001,15575,9050,7/1/2015,operator 11,6229,421.83908,13.07,21,10586,32939.52,0.89,0.05,0.28,,4.24,0.68,11800.98,7090.25,31.75,,,71,33,4929437,1.02,640.2543161
treatment company 7,-8.0699997,14144,8637,8/1/2013,operator 11,4625,3859.6321,14.22,7,5799,33543.38,0.36,0.03,0.25,,4.63,0.62,11834.59,7094.11,31.09,5871,8043,68,24,2742635,1.09,2887.753959
treatment company 10,,11723,6447,7/1/2013,operator 11,4587,,142.57,6,10244,34770.84,0.63,,0.34,,5.15,0.4,13588.36,6953.62,30.83,4186,,69,23,9096222,1.13,853.7593013
treatment company 16,-46.709999,16580,7924,10/1/2016,operator 4,7670,4935.4126,20.14,9,0,34603.7,0.17,0.03,0.33,,4.72,0.78,12929.02,7001.5,31.21,5629,9448,98,36,10211621,0.97,2205.197627
treatment company 10,-39.529999,16584,7751,10/1/2017,operator 4,8583,1991.8982,37.94,29,17012,34634.34,1.35,0.04,0.21,0.9,5.11,0.62,12712.86,7072.03,29.62,6056,,100,28,10067031,1.3,1383.727159
treatment company 1,-30.91,15789,6422,10/1/2018,operator 5,9045,2209.8936,110.16,3,4477,33261.49,1.29,0.05,0.34,,3.87,1.89,12377.37,6502.8,29.8,4192,,70,46,18537600,1.1,3026.233432
treatment company 9,-44.220001,14361,5652,6/1/2018,operator 22,8459,4213.9629,19.62,11,1561,31078.71,0.52,0.02,0.34,,4.44,0.27,13487.18,6854.06,30.59,4419,5305,95,54,19765446,1.08,1903.9369
treatment company 4,-24.040001,17718,8709,2/1/2019,operator 7,8349,1416.6613,6.15,5,3247,34752.89,0.43,0.02,0.33,,4.72,0.59,13263.02,7033.37,31.11,5543,7175,82,42,,0.86,4228.464636
treatment company 5,-51.439999,17530,7216,1/1/2016,operator 8,10107,995.42365,208.1,1,0,35185.42,0.51,0.02,0.33,,4.78,0.57,13333.03,7015.97,31.05,4672,,90,54,17751614,1.13,2756.671721
treatment company 5,-32.619999,12725,7463,1/1/2012,operator 8,4806,,0.56,9,4056,34808.3,1.24,0.04,0.32,,4.85,0.96,12586.4,7454.69,32.84,5495,6529,97,17,6612626,1.04,1131.588838
treatment company 1,-40.09,15286,6441,4/1/2017,operator 5,8306,2075.7163,173.02,1,4004,34656.74,0.48,0.02,0.33,,4.65,0.58,13183.12,7057.25,31.21,3165,5690,78,41,20911024,1.14,3004.785693
treatment company 3,-50.709999,12927,6546,6/1/2018,operator 1,5961,997.46918,1.35,3,0,34551.73,0.5,0.02,0.33,0.78,4.74,0.6,13270.21,7043.91,31.14,4867,,89,29,11639140,1.47,2922.828868
treatment company 2,-10.67,10965,5778,7/1/2011,operator 2,4711,2782.4092,2.14,16,5181,34897.14,1.18,,0.2,,6.46,0.45,12136.41,6999.37,27.91,4535,,82,13,4828227,1.23,1243.10183
treatment company 8,-28.91,12517,5926,1/1/2011,operator 23,5747,4484.1367,19.82,6,0,35313.77,0.36,,0.33,,4.71,0.59,13260.93,6994.61,31.03,4427,,80,16,6631582,1.34,886.1946214
treatment company 13,-14.81,13900,5778,7/1/2013,operator 24,6938,2296.178,3.59,9,4149,34246.32,0.18,0.02,0.33,,4.64,0.67,13309.81,6919.51,30.8,4177,,79,22,7722081,1.27,1396.648404
treatment company 12,-18.629999,12593,8178,1/1/2011,operator 2,4133,,15.13,19,9516,35039.02,0.32,0.02,0.34,,4.68,0.62,13231.58,6984.64,31.02,6209,,73,12,4256000,1.32,1255.634139
treatment company 10,,13706,7912,11/1/2015,operator 4,5323,684.65454,9.21,3,0,34636.68,0.2,,0.34,0.87,4.66,0.64,13231.59,6940.83,30.89,5122,,98,34,8670784,0.91,2084.029287
treatment company 15,-82.589996,12540,6227,3/1/2016,operator 19,5576,3399.4922,3.73,8,0,34546.34,0.49,0.03,0.33,,4.65,0.57,13151.12,7038.62,31.16,3709,,81,25,,0.92,595.5361955
treatment company 5,-6.4899998,13048,8599,2/1/2016,operator 11,4199,987.50024,22,16,0,34735.75,0.86,0.05,0.32,,5.58,0.78,12524.46,7092.89,32.43,5123,6833,71,19,3321123,1.6,650.6824319
treatment company 12,,17884,8688,10/1/2017,operator 25,8946,2003.192,41.38,12,8492,34732.74,1.72,0.08,0.26,,4.01,0.65,11551.76,6842.7,28.15,5191,,81,52,23007504,1.32,2437.073421
treatment company 3,-87.25,11676,6610,10/1/2017,operator 4,2628,700.13141,33.81,5,2953,34681.88,0.4,0.02,0.33,,4.7,0.58,13221.09,7017.72,31.1,3120,8872,94,13,,1.24,477.6320969
treatment company 10,-32.279999,17649,7939,11/1/2018,operator 4,8623,2138.8274,5.51,22,8108,32889.42,0.44,0.02,0.33,,,0.59,13187.58,7039.6,31.16,5087,,98,44,,1.4,3782.305129
treatment company 8,-53.18,11645,7980,7/1/2014,operator 26,3564,1607.8577,353.76,1,4086,32176.92,1.08,0.05,0.32,0.68,5.42,0.82,12599.2,7379.32,32.68,5032,,90,11,4121600,0.97,1010.513559
treatment company 12,2.48,12520,8573,7/1/2013,operator 9,3669,2719.2476,16.06,4,2297,34764.4,0.88,0.05,0.28,,4.12,0.47,11642.67,7067.2,31.58,6163,9986,92,20,5904593,1.37,873.411474
treatment company 1,-49.650002,15653,5765,10/1/2017,operator 13,9280,3902.2336,5.53,7,4655,27931.42,0.26,,0.34,,4.68,0.62,13241.47,6972.52,30.98,3788,,89,46,24777582,1.02,1514.900274
treatment company 5,-46.98,11903,5475,7/1/2013,operator 15,5526,,35.35,12,4633,31163.96,0.28,0.02,0.33,,4.68,0.62,13204.97,6985.98,31.03,3424,,89,16,5368545,1.22,1562.272694
treatment company 5,-1.71,13295,7286,2/1/2015,operator 11,5440,4428.6445,41.17,5,4278,28723.7,0.56,0.03,0.33,0.79,4.58,0.5,13056.54,7102.17,31.36,5529,,70,28,8293600,0.99,1191.836063
treatment company 4,-27.1,10777,6054,7/1/2012,operator 1,4143,879.65747,0.33,32,13729,34692.69,0.54,0.02,0.21,0.75,4.7,0.42,13552.74,6795.61,26.41,4634,5956,99,11,5450259,1.26,2509.09978
treatment company 8,-22.25,12312,6136,7/1/2012,operator 6,6041,2852.9058,4.69,3,0,31180.98,0.9,0.05,0.22,,4.84,0.72,10938.52,6779.6,26.01,4172,,73,11,7750996,1.3,1272.345292
treatment company 8,-55.029999,13707,6503,1/1/2016,operator 26,6553,791.7403,73.24,1,1920,29023.09,0.34,0.02,0.34,0.81,4.65,0.59,13166.69,7032.5,31.15,4831,6189,88,32,8536977,0.79,781.8192473
treatment company 12,-35.43,12021,6544,7/1/2012,operator 1,5176,5143.1685,6.01,7,0,31143.43,0.52,0.01,0.21,0.81,4.25,0.55,13071.26,6796.49,26,4780,,98,13,3644763,0.64,1354.756101
treatment company 11,-54.220001,15465,7366,7/1/2014,operator 14,6676,4218.4053,30.9,4,4174,34371.58,0.3,0.04,0.26,,3.91,0.59,11113.51,6782.48,28.44,5800,,81,33,12559157,1.06,5262.395867
treatment company 8,-43.490002,10690,7353,4/1/2013,operator 4,3010,1734.9403,450.37,1,0,30365.71,0.87,0.05,0.34,0.49,3.83,1.3,12795.79,6590.67,29.94,4983,,80,12,1572000,0.44,938.3756861
treatment company 5,2.6500001,13936,7256,3/1/2015,operator 11,5802,495.62256,14.27,6,297,29537.15,0.56,0.03,0.33,0.79,,0.5,13060.17,7101.29,31.36,5535,,69,29,8723403,1.03,1622.253328
treatment company 1,-41.939999,21343,6081,4/1/2018,operator 11,13995,2024.9224,70.55,12,10623,35339,0.68,,0.34,,5,0.42,13592.23,6950.44,30.82,4077,,91,70,35944792,1.14,3315.436126
treatment company 1,1.39,17898,6512,10/1/2018,operator 5,11136,3934.3613,104.88,3,0,30041.4,0.5,0.02,0.33,,4.83,0.56,13280.73,7014.03,31.04,3372,,75,50,24718622,1.12,3756.367646
treatment company 8,-56.619999,15190,8304,5/1/2015,operator 26,6306,5090.9937,5.66,14,9361,35500.58,0.35,0.03,0.32,,5.49,0.86,13106.77,7131.98,32.37,6137,,92,22,7917313,0.98,1468.465987
treatment company 1,-35.040001,14640,7887,7/1/2014,operator 25,6546,903.69232,3.94,6,2417,34719.56,0.28,,0.26,0.95,2.57,0.6,11119.27,6782.74,28.73,5878,,90,38,12298942,0.85,2572.248851
treatment company 1,-62.98,14189,,12/1/2015,operator 1,6574,2899.8076,106.58,3,7051,35006.8,1.21,0.05,0.31,,4.71,0.45,12638.59,6758.62,28.84,4749,,91,12,12761966,1.77,2433.940647
treatment company 12,,16326,7776,3/1/2019,operator 25,7620,,49.74,19,8536,34793.96,0.27,0.02,0.33,,4.68,0.63,13220.38,6970.94,30.98,5345,,97,41,15547840,1.65,2636.608476
treatment company 2,,13678,7094,7/1/2014,operator 20,6194,973.59308,28,13,6471,34786.71,0.53,0.01,0.33,0.8,4.78,0.41,13451.61,6934,30.82,4492,,108,11,5942799,1.75,1097.456344
treatment company 1,-28.690001,12606,6832,3/1/2017,operator 1,5121,902.85144,46.2,6,0,35033.39,0.27,0.02,0.33,0.86,4.66,0.61,13171.29,7015.34,31.11,4939,,100,50,9865250,1.06,2513.221547
treatment company 9,-14.28,13310,7046,7/1/2016,operator 14,5288,1799.9548,0.6,9,6476,29891.65,0.14,0.03,0.25,0.97,5.04,0.61,11543.63,6782.8,27.82,5269,6898,80,25,9481461,1.03,4404.194328
treatment company 5,-34.040001,15805,6613,4/1/2018,operator 5,8575,1330.3774,23.78,6,277,31193.17,0.47,,0.33,0.81,4.66,0.58,13179.29,7036.49,31.15,5091,,80,43,17397700,1.19,2256.564198
treatment company 1,-17.16,16012,6428,4/1/2017,operator 5,9334,1033.4312,331.48,1,0,35169.14,0.26,0.01,0.34,,4.68,0.61,13255.15,6964.58,30.96,3577,,77,45,22857492,1.09,2709.102928
treatment company 8,-50.57,12949,6884,2/1/2015,operator 4,5333,1847.6707,8.39,16,7341,34357.3,0.65,0.03,0.34,,3.98,0.79,12677.44,6693.39,30.2,4838,,80,25,8965499,1.24,483.0290875
treatment company 12,-40.200001,15240,8482,1/1/2013,operator 9,6297,758.83563,5,3,2288,35105.97,0.96,0.06,0.29,0.25,4.3,0.63,11831.43,7085.47,31.91,6537,,90,22,8622616,1.17,1127.188641
treatment company 4,-43.540001,18620,6219,9/1/2018,operator 7,11890,4269.1318,1.17,21,9945,34661.95,0.56,0.01,0.34,0.82,4.75,0.51,13393.22,7013.81,31.07,4101,,87,58,17332888,1.13,1067.101674
treatment company 10,-26.110001,11669,6463,7/1/2013,operator 11,4669,,48.88,1,0,35163.15,0.67,0.02,0.34,,5.15,0.39,13595.98,6950.15,30.83,4094,5865,70,23,8961191,1.1,664.3210982
treatment company 10,-27.690001,14233,7375,11/1/2017,operator 4,6608,4699.8047,4.64,4,3239,31913.86,0.5,0.03,0.33,0.87,4.73,0.56,12774.38,7148.56,31.67,5467,,100,40,13907320,1.08,3304.570137
treatment company 4,-40.139999,20870,7915,8/1/2018,operator 4,12419,1548.3195,3.39,3,2103,34235.23,0.35,0.05,0.34,,4.32,0.71,13211.25,6798.98,30.45,5151,,88,68,28334648,1.31,5013.576293
